Species,Number,Av. leaf length,Av. leaf width,Av. leaf thickness,Leaf surface area per leaf,Leaf fresh weight,Leaf dry weight,Specific leaf area,Leaf water content,,,
,,cm,cm,mm,cm2,g,g,m2 g DW-1,%,,,
Kiggelaria africana,4,7.78,2.66,0.342,14.446,0.45521,0.20269,0.00713,55.5,,,
Kiggelaria africana,5,9.12,2.59,0.342,15.951,0.55616,0.18102,0.00881,67.5,,,
Leucadendron argentuem,1,11.98,2.29,0.358,19.792,0.77028,0.31648,0.00625,58.9,,,
Leucadendron argentuem,2,12.71,2.45,0.418,22.386,1.05639,0.42849,0.00522,59.4,,,
Leucadendron argentuem,3,11.96,2.33,0.339,20.135,0.77457,0.29536,0.00682,61.9,,,
Leucadendron argentuem,4,9.68,1.58,0.321,10.444,0.39171,0.16874,0.00619,56.9,,,
Leucadendron argentuem,5,10.75,1.88,0.351,13.945,0.57272,0.23484,0.00594,59.0,,,
Liquidambar styraciflua,1,12.58,15.18,0.217,93.520,1.95690,0.85385,0.01095,56.4,,,
Liquidambar styraciflua,2,10.61,12.90,0.209,71.588,1.47429,0.59706,0.01199,59.5,,,
Liquidambar styraciflua,3,11.17,14.13,0.326,90.725,1.67831,0.66101,0.01373,60.6,,,
Liquidambar styraciflua,4,12.79,14.92,0.522,88.933,2.16539,0.86745,0.01025,59.9,,,
Liquidambar styraciflua,5,10.00,14.22,0.386,87.280,2.06748,0.84509,0.01033,59.1,,,
Maytenus oleoides,1,6.29,2.99,0.264,11.394,1.42541,0.11662,0.00977,91.8,,,
Maytenus oleoides,2,5.12,1.87,0.368,5.398,1.10496,0.08968,0.00602,91.9,,,
Maytenus oleoides,3,3.97,2.20,0.417,5.362,1.21282,0.11984,0.00447,90.1,,,
Maytenus oleoides,4,2.94,1.73,0.383,3.348,0.69493,0.06565,0.00510,90.6,,,
Maytenus oleoides,5,4.51,1.65,0.299,4.764,0.73742,0.05834,0.00817,92.1,,,
Nerium oleander,1,19.39,3.13,0.362,45.998,2.05702,0.74712,0.00616,63.7,,,
Nerium oleander,2,18.87,3.07,0.375,43.665,1.93415,0.69394,0.00629,64.1,,,
Nerium oleander,3,19.12,3.10,0.371,42.698,1.89946,0.62017,0.00688,67.4,,,
Nerium oleander,4,19.82,2.99,0.377,43.533,1.95358,0.70919,0.00614,63.7,,,
Nerium oleander,5,21.17,3.19,0.399,50.081,2.36879,0.90268,0.00555,61.9,,,
Ochna serrulata,1,6.18,2.54,0.095,10.676,0.18137,0.08083,0.01321,55.4,,,
Ochna serrulata,2,6.13,2.31,0.078,9.938,0.14841,0.06576,0.01511,55.7,,,
Ochna serrulata,3,5.93,1.90,0.103,7.479,0.12032,0.06043,0.01238,49.8,,,
Ochna serrulata,4,5.66,2.02,0.133,8.408,0.14146,0.07158,0.01175,49.4,,,
Ochna serrulata,5,5.51,2.09,0.123,8.440,0.13093,0.06205,0.01360,52.6,,,
Olea capensis,1,8.20,3.22,0.295,16.701,0.67360,0.37643,0.00444,44.1,,,
Olea capensis,2,9.04,5.08,0.304,32.982,1.15104,0.60415,0.00546,47.5,,,
Olea capensis,3,8.93,4.13,0.277,23.073,0.76093,0.38397,0.00601,49.5,,,
Olea capensis,4,10.22,3.92,0.293,25.481,0.85033,0.42541,0.00599,50.0,,,
Olea capensis,5,10.59,4.47,0.333,28.835,1.09435,0.64020,0.00450,41.5,,,
Olea europaea subsp. Cuspidata,1,7.48,1.38,0.358,6.959,0.27521,0.15446,0.00451,43.9,,,
Olea europaea subsp. Cuspidata,2,7.13,1.19,0.340,4.881,0.19653,0.10211,0.00478,48.0,,,
Olea europaea subsp. Cuspidata,3,5.17,1.35,0.315,4.695,0.17741,0.08473,0.00554,52.2,,,
Olea europaea subsp. Cuspidata,4,5.34,1.23,0.306,3.974,0.14127,0.07580,0.00524,46.3,,,
Olea europaea subsp. Cuspidata,5,5.45,1.32,0.326,4.301,0.15131,0.08585,0.00501,43.3,,,
Parthenocissus tricuspidata,1,10.76,11.15,0.725,93.134,2.62577,1.06023,0.00878,59.6,,,
Parthenocissus tricuspidata,2,11.26,10.92,0.724,93.554,3.31650,1.19754,0.00781,63.9,,,
Parthenocissus tricuspidata,3,11.73,11.49,0.725,99.096,2.72767,1.12442,0.00881,58.8,,,
Parthenocissus tricuspidata,4,10.21,11.51,0.724,84.766,2.58783,1.09815,0.00772,57.6,,,
Parthenocissus tricuspidata,5,10.53,10.86,0.582,90.804,2.07802,0.79663,0.01140,61.7,,,
Phoenix canariensis,1,31.67,2.12,0.468,38.185,1.52613,0.62205,0.00614,59.2,,,
Phoenix canariensis,2,29.23,2.15,0.406,36.605,1.19198,0.51003,0.00718,57.2,,,
Phoenix canariensis,3,31.79,2.01,0.427,36.254,1.57824,0.72220,0.00502,54.2,,,
Phoenix canariensis,4,36.46,3.02,0.499,64.243,2.64765,1.28159,0.00501,51.6,,,
Phoenix canariensis,5,33.90,3.19,0.456,68.585,2.47062,1.17821,0.00582,52.3,,,
Pinus pinea,1,9.43,0.20,0.739,0.187,0.15549,0.05640,0.00033,63.7,,,
Pinus pinea,2,10.66,0.20,0.865,0.733,0.23167,0.08623,0.00085,62.8,,,
Pinus pinea,3,15.35,0.28,1.307,0.852,0.78231,0.29359,0.00029,62.5,,,
Pinus pinea,4,13.00,0.20,0.857,0.668,0.27695,0.10018,0.00067,63.8,,,
Pinus pinea,5,8.97,0.20,0.804,0.217,0.14506,0.06341,0.00034,56.3,,,
Podalyria calyptrata,1,4.23,2.36,0.308,6.316,0.21822,0.08642,0.00731,60.4,,,
Podalyria calyptrata,2,4.05,2.33,0.239,5.001,0.18545,0.06636,0.00754,64.2,,,
Podalyria calyptrata,3,4.26,1.96,0.259,4.148,0.15648,0.05962,0.00696,61.9,,,
Podalyria calyptrata,4,3.85,1.73,0.237,4.089,0.12011,0.05338,0.00766,55.6,,,
Podalyria calyptrata,5,4.90,2.48,0.318,7.388,0.26291,0.10863,0.00680,58.7,,,
Podocarpus latifolius,1,3.50,0.41,0.409,1.086,0.04889,0.02062,0.00527,57.8,,,
Podocarpus latifolius,2,4.17,0.44,0.377,1.266,0.05494,0.02255,0.00561,59.0,,,
Podocarpus latifolius,3,3.50,0.56,0.410,1.324,0.05458,0.02424,0.00546,55.6,,,
Podocarpus latifolius,4,3.12,0.51,0.435,1.170,0.05483,0.02283,0.00512,58.4,,,
Podocarpus latifolius,5,3.44,0.56,0.278,1.328,0.04762,0.02252,0.00590,52.7,,,
Populus sp.,1,6.46,4.04,0.335,16.746,0.55546,0.21402,0.00782,61.5,,,
Populus sp.,2,5.05,3.44,0.270,11.143,0.26950,0.12542,0.00888,53.5,,,
Populus sp.,3,5.76,3.71,0.281,13.992,0.35922,0.17643,0.00793,50.9,,,
Populus sp.,4,5.19,3.38,0.250,10.956,0.22303,0.10564,0.01037,52.6,,,
Populus sp.,5,5.63,3.67,0.244,13.305,0.30104,0.13984,0.00951,53.5,,,
Pyracantha angustifolia,1,4.55,0.80,0.383,2.579,0.07523,0.03850,0.00670,48.8,,,
Pyracantha angustifolia,2,4.64,0.90,0.312,3.008,0.06732,0.03503,0.00859,48.0,,,
Pyracantha angustifolia,3,4.79,0.87,0.355,3.240,0.09654,0.05020,0.00645,48.0,,,
Pyracantha angustifolia,4,4.90,0.97,0.308,3.304,0.08659,0.04479,0.00738,48.3,,,
