Species,Number,Leaf no.,Fresh leaves,,Dry leaves,,,,Species,Number,Combustibility 
,,,Ignibility (s),Sustainability (s),Ignibility (s),Sustainability (s),,,,,mg DW s-1
Indigofera cystioides,,8,8.39,50.6,2.43,24.29,,,,,
Indigofera cystioides,,9,9.99,50.81,0.99,19.16,,,,,
Indigofera cystioides,,10,10.01,40.47,2.36,20.87,,,,,
Indigofera cystioides,4,1,10.41,36.44,1.2,10.93,,,,,
Indigofera cystioides,,2,9.94,46.67,2.08,22.19,,,,,
Indigofera cystioides,,3,10.35,70.12,1.39,17.35,,,,,
Indigofera cystioides,,4,10.65,66.44,1.34,14.13,,,,,
Indigofera cystioides,,5,8.39,46.4,2.16,15.63,,,,,
Indigofera cystioides,,6,7.9,43.17,2.95,26.13,,,,,
Indigofera cystioides,,7,10.55,64.86,2.29,30.23,,,,,
Indigofera cystioides,,8,8.13,46.17,2.39,15.24,,,,,
Indigofera cystioides,,9,7.97,46.32,1.56,12.74,,,,,
Indigofera cystioides,,10,7.75,43.27,1.97,24.91,,,,,
Indigofera cystioides,5,1,10.36,45.85,2,22.58,,,,,
Indigofera cystioides,,2,9.6,45.6,2.56,23.06,,,,,
Indigofera cystioides,,3,11.64,47.69,2.01,14.47,,,,,
Indigofera cystioides,,4,10.93,41.35,2.38,16.05,,,,,
Indigofera cystioides,,5,11.77,35.17,2.29,13.95,,,,,
Indigofera cystioides,,6,10.52,46.77,3.03,19.52,,,,,
Indigofera cystioides,,7,11.91,68.88,2.07,8.45,,,,,
Indigofera cystioides,,8,10.71,42,1.98,22.5,,,,,
Indigofera cystioides,,9,10.74,43.73,2.18,17.04,,,,,
Indigofera cystioides,,10,9.28,42.21,2.28,17.51,,,,,
Kiggelaria africana,1,1,12.1,52.84,1.89,8.48,,,,,
Kiggelaria africana,,2,14.53,61.61,0.54,15.34,,,,,
Kiggelaria africana,,3,9.87,30.5,1.61,11.27,,,,,
Kiggelaria africana,,4,10.41,33.01,0.71,25.63,,,,,
Kiggelaria africana,,5,9.1,38.51,1.18,15.09,,,,,
Kiggelaria africana,,6,9.83,43.55,1.14,10.98,,,,,
Kiggelaria africana,,7,10.53,42.82,1.1,16.41,,,,,
Kiggelaria africana,,8,10.94,53.79,1.13,11.15,,,,,
Kiggelaria africana,,9,9.16,32.35,1.09,10.98,,,,,
Kiggelaria africana,,10,9.99,46.64,1.15,13.92,,,,,
Kiggelaria africana,2,1,14.19,48.41,1.47,13.86,,,,,
Kiggelaria africana,,2,10.34,51.87,1.43,12.43,,,,,
Kiggelaria africana,,3,14.87,44.56,1.79,15.72,,,,,
Kiggelaria africana,,4,13.71,42.89,1.3,14.41,,,,,
Kiggelaria africana,,5,9.32,39.44,0.95,12.48,,,,,
Kiggelaria africana,,6,11.1,41.21,1.27,7.8,,,,,
Kiggelaria africana,,7,12.43,47.12,1.56,23.62,,,,,
Kiggelaria africana,,8,11.83,37.45,1.5,22.65,,,,,
Kiggelaria africana,,9,15.1,49.54,1.8,13.28,,,,,
Kiggelaria africana,,10,13.15,44.08,1.12,10.74,,,,,
Kiggelaria africana,3,1,14.29,40.02,1.65,14.25,,,,,
Kiggelaria africana,,2,13,37.56,1.4,13.81,,,,,
Kiggelaria africana,,3,21.22,42.16,1.18,14.35,,,,,
Kiggelaria africana,,4,15.51,48.32,1,14.87,,,,,
Kiggelaria africana,,5,8.99,34.27,0.92,13.04,,,,,
Kiggelaria africana,,6,14.05,31.16,1.09,11.27,,,,,
Kiggelaria africana,,7,14.99,38.96,2,12.97,,,,,
Kiggelaria africana,,8,13.73,29.21,1.34,14.07,,,,,
Kiggelaria africana,,9,19.4,31.8,1.7,16.57,,,,,
Kiggelaria africana,,10,19.11,34.82,1.83,15.48,,,,,
Kiggelaria africana,4,1,23.16,46.22,1.38,11.86,,,,,
Kiggelaria africana,,2,19.69,64.34,1.28,10.19,,,,,
Kiggelaria africana,,3,13.14,30.24,1.84,15.95,,,,,
Kiggelaria africana,,4,9.56,38.62,1.23,12.72,,,,,
Kiggelaria africana,,5,7.23,21.44,1.79,12.35,,,,,
Kiggelaria africana,,6,10.06,25.92,1.19,13.32,,,,,
Kiggelaria africana,,7,10.03,18.32,1.17,9.59,,,,,
Kiggelaria africana,,8,17.62,40.32,0.94,9.94,,,,,
Kiggelaria africana,,9,11.52,32.52,1.26,13.95,,,,,
Kiggelaria africana,,10,13.61,31.95,1.28,13.29,,,,,
Kiggelaria africana,5,1,11.49,21.29,0.83,9.12,,,,,
Kiggelaria africana,,2,10.7,35.41,0.83,9.5,,,,,
Kiggelaria africana,,3,10.83,32.34,1.7,11.62,,,,,
Kiggelaria africana,,4,8.61,30.45,1.39,10.64,,,,,
Kiggelaria africana,,5,9.13,31.93,1.66,12.39,,,,,
Kiggelaria africana,,6,7.18,40.21,1.44,10.73,,,,,
Kiggelaria africana,,7,9.93,33.27,1.85,10.69,,,,,
Kiggelaria africana,,8,9.5,26.86,1.51,11.1,,,,,
Kiggelaria africana,,9,11.49,35.42,2.18,16.12,,,,,
Kiggelaria africana,,10,14.07,30.91,1.15,8.73,,,,,
Leucadendron argentuem,1,1,9.36,45.23,1.9,14.66,,,,,
Leucadendron argentuem,,2,10.25,55.03,1.2,10.85,,,,,
Leucadendron argentuem,,3,10.55,71.87,1.34,11.3,,,,,
Leucadendron argentuem,,4,8.08,71.6,1.32,10.98,,,,,
Leucadendron argentuem,,5,7.45,39.15,1.21,14.16,,,,,
Leucadendron argentuem,,6,9.72,44.22,2.05,8.93,,,,,
Leucadendron argentuem,,7,8.32,48.76,1.74,13.05,,,,,
Leucadendron argentuem,,8,7.1,45.76,1.53,10.61,,,,,
Leucadendron argentuem,,9,9.04,54.69,1.68,15.39,,,,,
Leucadendron argentuem,,10,6.33,40.88,1.76,13.78,,,,,
Leucadendron argentuem,2,1,12.51,84.01,1.51,12.85,,,,,
Leucadendron argentuem,,2,12.14,47.07,2.01,15.3,,,,,
Leucadendron argentuem,,3,8.18,76.2,3.21,14.36,,,,,
Leucadendron argentuem,,4,7.95,75.51,1.7,23.53,,,,,
Leucadendron argentuem,,5,10.34,64.72,2.57,16.33,,,,,
Leucadendron argentuem,,6,10.46,63.25,1.61,17.34,,,,,
Leucadendron argentuem,,7,9.23,43.05,1.22,25.85,,,,,
Leucadendron argentuem,,8,8.5,40.47,1.74,24.89,,,,,
Leucadendron argentuem,,9,8.78,67.06,2.73,18.85,,,,,
Leucadendron argentuem,,10,7.13,56.78,1.41,19.28,,,,,
Leucadendron argentuem,3,1,7.53,57.59,1.58,16.69,,,,,
Leucadendron argentuem,,2,8.52,56.06,1.83,17.61,,,,,
Leucadendron argentuem,,3,10.68,52.06,1.59,18.29,,,,,
Leucadendron argentuem,,4,8.32,40.88,1.17,17.81,,,,,
Leucadendron argentuem,,5,11.27,42.14,2.11,15.25,,,,,
Leucadendron argentuem,,6,8.98,44.91,1.72,12.39,,,,,
Leucadendron argentuem,,7,10.7,46.52,1.19,14.63,,,,,
Leucadendron argentuem,,8,8.18,53.23,1.81,11.33,,,,,
Leucadendron argentuem,,9,7.67,60.76,1.31,15.15,,,,,
Leucadendron argentuem,,10,6.76,57.54,1.8,15.75,,,,,
Leucadendron argentuem,4,1,4.79,54.75,1.33,12.46,,,,,
Leucadendron argentuem,,2,7.75,55.69,3.14,11.65,,,,,
Leucadendron argentuem,,3,9.85,27.7,2.11,16.7,,,,,
Leucadendron argentuem,,4,9.01,25.73,1.72,15.28,,,,,
Leucadendron argentuem,,5,8.66,33.06,1.84,11.09,,,,,
Leucadendron argentuem,,6,8.24,29.33,1.47,9.25,,,,,
Leucadendron argentuem,,7,8.93,34.12,1.45,19.53,,,,,
Leucadendron argentuem,,8,7.72,24.63,1.77,12.09,,,,,
Leucadendron argentuem,,9,8.23,31.72,2.11,10.83,,,,,
Leucadendron argentuem,,10,9.97,29.83,1.71,13.02,,,,,
Leucadendron argentuem,5,1,8,40.85,2.37,13.43,,,,,
Leucadendron argentuem,,2,8.53,40.11,1.45,11.77,,,,,
Leucadendron argentuem,,3,7.15,41.35,2.14,15,,,,,
Leucadendron argentuem,,4,7.12,42.87,1.73,12.28,,,,,
Leucadendron argentuem,,5,6.75,41.43,1.91,13.98,,,,,
Leucadendron argentuem,,6,6.03,43.54,1.33,14.46,,,,,
Leucadendron argentuem,,7,9.86,43.01,1.32,14.11,,,,,
Leucadendron argentuem,,8,8.49,40.75,1.23,15.3,,,,,
Leucadendron argentuem,,9,8.59,28.13,2.1,11.78,,,,,
Leucadendron argentuem,,10,7.67,29.03,1.71,12.71,,,,,
Liquidambar styraciflua,1,1,2.17,26.56,0.99,12.79,,,,,
Liquidambar styraciflua,,2,1.64,25.85,1.57,10.83,,,,,
Liquidambar styraciflua,,3,2.13,22.15,1.07,13.72,,,,,
Liquidambar styraciflua,,4,3.94,34.22,1.27,13.78,,,,,
Liquidambar styraciflua,,5,2.5,20.49,1.06,12.57,,,,,
Liquidambar styraciflua,,6,3.21,23.78,0.87,17.98,,,,,
Liquidambar styraciflua,,7,2.44,28.06,1.09,9.95,,,,,
Liquidambar styraciflua,,8,5.88,22.26,1.39,14.14,,,,,
Liquidambar styraciflua,,9,2.04,28.48,1.12,14.28,,,,,
Liquidambar styraciflua,,10,4.65,23.91,1.51,13.79,,,,,
Liquidambar styraciflua,2,1,2.43,21.17,1.4,10.19,,,,,
Liquidambar styraciflua,,2,3.67,34.46,1.51,8.88,,,,,
Liquidambar styraciflua,,3,4.53,28.43,1.06,8.78,,,,,
Liquidambar styraciflua,,4,2.97,20.24,2.11,10.11,,,,,
Liquidambar styraciflua,,5,4.87,28.38,1.64,8.48,,,,,
Liquidambar styraciflua,,6,4.65,30.28,1.33,8.27,,,,,
Liquidambar styraciflua,,7,5.53,19.29,1.06,12.22,,,,,
Liquidambar styraciflua,,8,6.44,17.76,1.39,10.71,,,,,
Liquidambar styraciflua,,9,2.59,27.39,1.13,7.31,,,,,
Liquidambar styraciflua,,10,1.77,17.92,1.38,16.07,,,,,
Liquidambar styraciflua,3,1,3.29,13.11,1.07,16.24,,,,,
Liquidambar styraciflua,,2,3.11,15.03,1.8,13.26,,,,,
Liquidambar styraciflua,,3,3.17,26.24,1,14.64,,,,,
Liquidambar styraciflua,,4,3.61,24.1,1.06,11.28,,,,,
Liquidambar styraciflua,,5,4.1,25.2,1,12.74,,,,,
Liquidambar styraciflua,,6,5.45,24.8,1.95,13.85,,,,,
Liquidambar styraciflua,,7,5.83,29.29,0.93,10.22,,,,,
Liquidambar styraciflua,,8,3.36,26.84,1.89,8.87,,,,,
Liquidambar styraciflua,,9,2.43,22.63,1.11,12.2,,,,,
Liquidambar styraciflua,,10,4.14,27.72,0.86,8.95,,,,,
Liquidambar styraciflua,4,1,6.43,16.23,1.58,11.58,,,,,
Liquidambar styraciflua,,2,7.34,19.69,1.84,22.39,,,,,
Liquidambar styraciflua,,3,6.36,15.04,0.95,10.48,,,,,
Liquidambar styraciflua,,4,5.37,29.41,1.66,11.12,,,,,
Liquidambar styraciflua,,5,5.06,23.83,1.72,10.75,,,,,
Liquidambar styraciflua,,6,3.63,23.35,1.18,8.98,,,,,
Liquidambar styraciflua,,7,4.41,21.22,1.19,13.03,,,,,
Liquidambar styraciflua,,8,2.83,25.18,1.13,10.86,,,,,
Liquidambar styraciflua,,9,3.36,37.77,1.13,17.31,,,,,
Liquidambar styraciflua,,10,3.86,26.27,2.17,12.17,,,,,
Liquidambar styraciflua,5,1,4.86,27.22,1.14,12.5,,,,,
Liquidambar styraciflua,,2,2.65,29.04,0.73,16.99,,,,,
Liquidambar styraciflua,,3,3.7,33.63,0.8,16.19,,,,,
Liquidambar styraciflua,,4,4.72,33.7,1.19,17.97,,,,,
Liquidambar styraciflua,,5,3.29,30.05,1.2,13.24,,,,,
Liquidambar styraciflua,,6,3.23,29.62,1.19,16.6,,,,,
Liquidambar styraciflua,,7,4.39,27.77,0.99,13.84,,,,,
Liquidambar styraciflua,,8,2.45,28.56,1.12,17.64,,,,,
Liquidambar styraciflua,,9,6.03,20.12,1.07,14.01,,,,,
Liquidambar styraciflua,,10,4.32,50.65,1.46,15.08,,,,,
Maytenus oleoides,1,1,3.82,38.39,0.91,12.47,,,,,
Maytenus oleoides,,2,5.86,35.06,2,12.4,,,,,
Maytenus oleoides,,3,4,28.37,1.25,12.78,,,,,
Maytenus oleoides,,4,5.37,32.58,1.53,12.56,,,,,
Maytenus oleoides,,5,5.94,30.43,1.64,13.64,,,,,
Maytenus oleoides,,6,5.92,30.87,1.72,12.51,,,,,
Maytenus oleoides,,7,6.09,25.49,1.52,13.35,,,,,
Maytenus oleoides,,8,5.89,29.57,1.71,11.35,,,,,
Maytenus oleoides,,9,7.6,40.33,1.48,10.33,,,,,
Maytenus oleoides,,10,5.82,28.71,1.99,8.4,,,,,
Maytenus oleoides,2,1,6.77,31.85,1.45,11.88,,,,,
Maytenus oleoides,,2,6.84,29.19,1.86,12.54,,,,,
Maytenus oleoides,,3,6.36,30.67,1.92,12.25,,,,,
Maytenus oleoides,,4,6.89,29.6,1.9,13.54,,,,,
Maytenus oleoides,,5,6.36,27.88,2.97,12.24,,,,,
Maytenus oleoides,,6,6.96,25.25,1.64,13.17,,,,,
Maytenus oleoides,,7,8.07,33.84,2.3,15.35,,,,,
Maytenus oleoides,,8,6.57,30.73,1.69,14.02,,,,,
Maytenus oleoides,,9,7.06,30.36,2.81,12.85,,,,,
Maytenus oleoides,,10,6.34,33.81,1.92,14.45,,,,,
Maytenus oleoides,3,1,7.41,32.51,2.64,11.46,,,,,
Maytenus oleoides,,2,6.45,29.6,1.69,11.59,,,,,
Maytenus oleoides,,3,7.67,31.66,1.45,11.86,,,,,
Maytenus oleoides,,4,6.13,24.96,1.7,14.71,,,,,
Maytenus oleoides,,5,8,37.22,2.75,13.56,,,,,
Maytenus oleoides,,6,6.05,27.11,1.73,16.45,,,,,
Maytenus oleoides,,7,7.14,26.54,2.3,15.23,,,,,
Maytenus oleoides,,8,6.59,22.73,1.93,12.9,,,,,
Maytenus oleoides,,9,7.35,31.44,1.26,12.45,,,,,
Maytenus oleoides,,10,8.73,27.05,1.88,15.15,,,,,
Maytenus oleoides,4,1,7.21,26.8,1.06,7.95,,,,,
Maytenus oleoides,,2,6.29,28.67,1.04,7.48,,,,,
Maytenus oleoides,,3,8.2,29.26,2.1,13.2,,,,,
Maytenus oleoides,,4,8.12,26.23,1.47,13.46,,,,,
Maytenus oleoides,,5,10.34,28.76,2.3,13.25,,,,,
Maytenus oleoides,,6,8.1,25.07,2.1,15.14,,,,,
Maytenus oleoides,,7,8.01,25.76,1.25,11.12,,,,,
Maytenus oleoides,,8,8.01,21.97,1.49,13.07,,,,,
Maytenus oleoides,,9,8.86,28.51,1.65,13.56,,,,,
Maytenus oleoides,,10,7.63,28.78,1.47,13.22,,,,,
Maytenus oleoides,5,1,6.54,26.91,1.53,12.39,,,,,
Maytenus oleoides,,2,6.65,26.3,1.57,11.5,,,,,
Maytenus oleoides,,3,7.49,24.05,1.33,10.13,,,,,
Maytenus oleoides,,4,5.95,23.05,1.6,10.26,,,,,
Maytenus oleoides,,5,7.08,30.95,2.04,11.87,,,,,
Maytenus oleoides,,6,7.27,29.29,1.51,9.58,,,,,
Maytenus oleoides,,7,8.01,25.84,1.31,8,,,,,
Maytenus oleoides,,8,8.11,22.11,1.65,9.61,,,,,
Maytenus oleoides,,9,9.32,24.75,1.98,11.87,,,,,
Maytenus oleoides,,10,7.99,23.15,1.57,10.54,,,,,
Nerium oleander,1,1,7.99,116.21,1.65,42.49,,,,,
Nerium oleander,,2,8.18,115.62,1.49,41.08,,,,,
Nerium oleander,,3,5.51,130.26,1.5,43.26,,,,,
Nerium oleander,,4,6.7,130.91,2.07,32.63,,,,,
Nerium oleander,,5,6.89,127.83,1.79,35.89,,,,,
Nerium oleander,,6,6.48,122.97,1.26,44.84,,,,,
Nerium oleander,,7,7.48,110.18,1.62,30.75,,,,,
Nerium oleander,,8,7.63,95.33,1.7,26.31,,,,,
Nerium oleander,,9,5.97,122.09,1.41,18.47,,,,,
Nerium oleander,,10,6.32,116.24,1.71,34.4,,,,,
Ochna serrulata,1,1,5.4,27.44,0.84,8.9,,,,,
Ochna serrulata,,2,5.62,21.19,0.74,7.08,,,,,
Ochna serrulata,,3,4.93,22.99,0.57,7.74,,,,,
Ochna serrulata,,4,4.56,18.56,0.67,6.72,,,,,
Ochna serrulata,,5,4.98,23.72,0.75,7.24,,,,,
Ochna serrulata,,6,4.92,17.97,0.6,7.44,,,,,
Ochna serrulata,,7,5.83,23.7,0.67,7.25,,,,,
Ochna serrulata,,8,4.9,18.27,0.87,5.66,,,,,
Ochna serrulata,,9,6.41,25.8,0.66,6.55,,,,,
Ochna serrulata,,10,5.51,23.09,0.9,8.06,,,,,
Ochna serrulata,2,1,4.34,20.52,0.48,7.84,,,,,
Ochna serrulata,,2,4.3,22.96,0.58,7.85,,,,,
Ochna serrulata,,3,5.63,21.55,0.34,6.88,,,,,
Ochna serrulata,,4,3.99,21.27,0.94,6.49,,,,,
Ochna serrulata,,5,5.31,22.97,0.62,4.74,,,,,
Ochna serrulata,,6,4.98,19.5,0.87,5.9,,,,,
Ochna serrulata,,7,5.51,17.62,0.6,8.22,,,,,
Ochna serrulata,,8,4.19,17.45,0.63,6.8,,,,,
Ochna serrulata,,9,4.14,19.52,0.54,7.5,,,,,
Ochna serrulata,,10,3.87,18.66,0.69,7.44,,,,,
Ochna serrulata,3,1,4.34,20.06,0.6,7.09,,,,,
Ochna serrulata,,2,3.55,18.96,0.94,7,,,,,
Ochna serrulata,,3,4.27,17.96,0.74,7.39,,,,,
Ochna serrulata,,4,3.95,17.77,0.47,7.94,,,,,
Ochna serrulata,,5,4.26,27.33,0.67,8.75,,,,,
Ochna serrulata,,6,3.67,17.33,0.47,7.35,,,,,
Ochna serrulata,,7,4.13,16.61,0.86,5.26,,,,,
Ochna serrulata,,8,3.84,17.4,0.8,7.27,,,,,
Ochna serrulata,,9,4,18.04,1.12,8.86,,,,,
Ochna serrulata,,10,4.35,17.67,0.9,6.79,,,,,
Ochna serrulata,4,1,3.81,19.45,1,8.52,,,,,
Ochna serrulata,,2,3.63,15.13,0.86,6.67,,,,,
Ochna serrulata,,3,3.23,20.25,0.99,7.85,,,,,
Ochna serrulata,,4,3.82,14.69,0.71,8.2,,,,,
Ochna serrulata,,5,3.74,21.85,1.07,7.7,,,,,
Ochna serrulata,,6,3.71,18.71,0.57,7.21,,,,,
Ochna serrulata,,7,4.08,20.18,0.81,8.01,,,,,
Ochna serrulata,,8,3.86,16.46,0.7,8.58,,,,,
Ochna serrulata,,9,4.07,22.8,0.92,6.44,,,,,
Ochna serrulata,,10,3.85,22.26,0.47,6.52,,,,,
Ochna serrulata,5,1,3.28,23.77,0.41,7.27,,,,,
Ochna serrulata,,2,3.46,19.95,0.44,6.85,,,,,
Ochna serrulata,,3,2.9,21.86,0.54,10.93,,,,,
Ochna serrulata,,4,3.6,17.37,0.94,6.05,,,,,
Ochna serrulata,,5,3.05,24.23,0.61,7.48,,,,,
Ochna serrulata,,6,3.83,21.61,0.77,5.17,,,,,
Ochna serrulata,,7,4.04,18.92,0.48,7.05,,,,,
Ochna serrulata,,8,3.38,19.38,0.47,6.21,,,,,
Ochna serrulata,,9,3.15,19.82,0.33,5.33,,,,,
Ochna serrulata,,10,3.26,18.54,0.38,6.06,,,,,
Olea capensis,1,1,6.11,38.95,3.12,19.43,,,,,
Olea capensis,,2,6.96,31.24,2.13,20.33,,,,,
Olea capensis,,3,6.15,40.55,1.46,28.82,,,,,
Olea capensis,,4,5.17,33.23,2.26,21.69,,,,,
Olea capensis,,5,6.17,38.77,1.45,23.21,,,,,
Olea capensis,,6,4.62,33.87,2.03,22.56,,,,,
Olea capensis,,7,5.89,38.66,1.38,24.25,,,,,
Olea capensis,,8,5.33,34.33,2.18,23.73,,,,,
Olea capensis,,9,6.23,38.32,1.07,25.02,,,,,
Olea capensis,,10,5.31,36.81,2.75,20.73,,,,,
Olea capensis,2,1,7.32,60.19,2.05,24.4,,,,,
Olea capensis,,2,6.31,50.96,1.99,18.83,,,,,
Olea capensis,,3,7.15,52.21,1.79,18.2,,,,,
Olea capensis,,4,6.07,42.98,2.05,22.62,,,,,
Olea capensis,,5,5.7,47.32,1.72,22.63,,,,,
Olea capensis,,6,5.77,40.46,2.15,22.48,,,,,
Olea capensis,,7,5.24,45.86,1.14,17.97,,,,,
Olea capensis,,8,5.48,45.42,2.17,18.32,,,,,
Olea capensis,,9,5.9,43.05,2.24,17.75,,,,,
Olea capensis,,10,5.26,34.78,2.11,21.34,,,,,
Olea capensis,3,1,5.18,51.18,1.85,18.9,,,,,
Olea capensis,,2,5.3,46.83,1.77,18.55,,,,,
Olea capensis,,3,5.7,51.23,1.19,18.29,,,,,
Olea capensis,,4,5.63,46.68,2.26,23.12,,,,,
Olea capensis,,5,4.59,43.74,1.58,13.69,,,,,
Olea capensis,,6,5.54,44.13,2.13,19.35,,,,,
Olea capensis,,7,6.43,43.68,1.71,16.88,,,,,
Olea capensis,,8,4.88,35.41,2.17,19.35,,,,,
Olea capensis,,9,5.04,31.83,1,17.5,,,,,
Olea capensis,,10,4.68,33.16,2.09,21.02,,,,,
Olea capensis,4,1,5.38,51.4,1.12,13.82,,,,,
Olea capensis,,2,5.17,48.45,2.14,14.92,,,,,
Olea capensis,,3,4.9,36.75,1.85,1.85,,,,,
Olea capensis,,4,5.42,37.18,2.12,22.55,,,,,
Olea capensis,,5,4.82,44.66,1,17.17,,,,,
Olea capensis,,6,5.05,44.02,2.67,22.41,,,,,
Olea capensis,,7,6.22,51.6,1.44,20.8,,,,,
Olea capensis,,8,5.55,37.66,1.81,22.55,,,,,
Olea capensis,,9,4.2,37.02,1.66,15.28,,,,,
Olea capensis,,10,5.96,36.14,2.1,14.97,,,,,
Olea capensis,5,1,5.26,42.25,2.36,22.66,,,,,
Olea capensis,,2,5.52,45.9,2.39,24.79,,,,,
Olea capensis,,3,5.3,36.36,2.24,24.13,,,,,
Olea capensis,,4,5.64,40.1,2.57,28.33,,,,,
Olea capensis,,5,5.57,39.08,2.23,20.94,,,,,
Olea capensis,,6,5.23,34.5,2.44,21.91,,,,,
Olea capensis,,7,5.05,36.25,1.77,20.63,,,,,
Olea capensis,,8,6.09,40.12,2.18,20.16,,,,,
Olea capensis,,9,3.67,53.08,2.1,22.97,,,,,
Olea capensis,,10,5.1,41.72,2.28,25.75,,,,,
Olea europaea subsp. cuspidata,1,1,8.89,32.23,1.26,18.54,,,,,
Olea europaea subsp. cuspidata,,2,8.69,27,1.53,17.13,,,,,
Olea europaea subsp. cuspidata,,3,8.32,30.05,2.24,20.11,,,,,
Olea europaea subsp. cuspidata,,4,7.81,28.76,1.51,18.5,,,,,
Olea europaea subsp. cuspidata,,5,7.71,26.14,1.98,14.78,,,,,
Olea europaea subsp. cuspidata,,6,7.07,25.03,1.57,14.24,,,,,
Olea europaea subsp. cuspidata,,7,7.53,29,2.18,17.35,,,,,
Olea europaea subsp. cuspidata,,8,7.2,28.45,1.45,19.62,,,,,
Olea europaea subsp. cuspidata,,9,5.56,17.04,2.13,19.63,,,,,
Olea europaea subsp. cuspidata,,10,7.01,22.21,1.53,17.92,,,,,
Olea europaea subsp. cuspidata,2,1,7.6,25.77,1.84,16.63,,,,,
Olea europaea subsp. cuspidata,,2,7.59,26.4,1.51,17.17,,,,,
Olea europaea subsp. cuspidata,,3,6.1,31.81,1.58,18.8,,,,,
Olea europaea subsp. cuspidata,,4,6.72,26.26,1.43,16.34,,,,,
Olea europaea subsp. cuspidata,,5,5.89,24.86,2.24,16.05,,,,,
Olea europaea subsp. cuspidata,,6,6.16,20.03,1.23,14.83,,,,,
Olea europaea subsp. cuspidata,,7,8.1,31.93,2.04,19.68,,,,,
Olea europaea subsp. cuspidata,,8,6.8,29.83,1.43,19.11,,,,,
Olea europaea subsp. cuspidata,,9,6.67,33.86,2.34,20.93,,,,,
Olea europaea subsp. cuspidata,,10,6.83,31.85,1.43,13.78,,,,,
Olea europaea subsp. cuspidata,3,1,4.06,32.31,2.23,13.5,,,,,
Olea europaea subsp. cuspidata,,2,4.9,24.18,1.28,12.58,,,,,
Olea europaea subsp. cuspidata,,3,7.33,28.32,2.04,14.87,,,,,
Olea europaea subsp. cuspidata,,4,4.14,26.82,1.67,15.41,,,,,
Olea europaea subsp. cuspidata,,5,6.42,22.81,1.71,15.83,,,,,
Olea europaea subsp. cuspidata,,6,7.07,20.04,1.2,15.19,,,,,
Olea europaea subsp. cuspidata,,7,9.04,18,1.78,13.91,,,,,
Olea europaea subsp. cuspidata,,8,7.96,22.45,1.56,14.4,,,,,
Olea europaea subsp. cuspidata,,9,5.83,24.53,2.11,17.46,,,,,
Olea europaea subsp. cuspidata,,10,6.07,23.07,1.65,17.9,,,,,
Olea europaea subsp. cuspidata,4,1,4.07,23.35,1.65,15.66,,,,,
Olea europaea subsp. cuspidata,,2,5.69,18.15,1.13,14.01,,,,,
Olea europaea subsp. cuspidata,,3,5.7,22.66,1.39,17.41,,,,,
Olea europaea subsp. cuspidata,,4,6.62,21.38,1.7,15.27,,,,,
Olea europaea subsp. cuspidata,,5,6.94,22.08,2.1,13.66,,,,,
Olea europaea subsp. cuspidata,,6,6.46,20.28,1.72,13.89,,,,,
Olea europaea subsp. cuspidata,,7,6.3,21.3,1.85,15.26,,,,,
Olea europaea subsp. cuspidata,,8,6.79,20.83,1.6,17.17,,,,,
Olea europaea subsp. cuspidata,,9,5.38,22.78,2.56,15.08,,,,,
Olea europaea subsp. cuspidata,,10,6.51,23.59,1.85,13.92,,,,,
Olea europaea subsp. cuspidata,5,1,6.69,26.67,2.11,16.01,,,,,
Olea europaea subsp. cuspidata,,2,5.16,21.54,1.9,14.3,,,,,
Olea europaea subsp. cuspidata,,3,6.64,25.86,1.98,15.39,,,,,
Olea europaea subsp. cuspidata,,4,6.12,21.12,1.59,12.7,,,,,
Olea europaea subsp. cuspidata,,5,6.98,27.98,1.71,11.59,,,,,
Olea europaea subsp. cuspidata,,6,5.52,21.17,1.14,13.76,,,,,
Olea europaea subsp. cuspidata,,7,8.38,21.58,1.94,14.41,,,,,
Olea europaea subsp. cuspidata,,8,4.83,18.82,1.57,12.39,,,,,
Olea europaea subsp. cuspidata,,9,6.15,26.71,2.1,17.97,,,,,
Olea europaea subsp. cuspidata,,10,5.62,23.34,1.68,13.82,,,,,
Parthenocissus tricuspidata,1,1,11.81,58.59,1.19,14.42,,,,,
Parthenocissus tricuspidata,,2,5.13,34.28,1.51,11.29,,,,,
Parthenocissus tricuspidata,,3,4.67,45.07,0.99,26.03,,,,,
Parthenocissus tricuspidata,,4,8.14,44,2.1,19.81,,,,,
Parthenocissus tricuspidata,,5,5.45,25.44,1.25,14.67,,,,,
Parthenocissus tricuspidata,,6,2.97,34.16,0.99,18.35,,,,,
Parthenocissus tricuspidata,,7,6.82,45.02,1.18,20.8,,,,,
Parthenocissus tricuspidata,,8,5.85,28.16,0.99,16,,,,,
Parthenocissus tricuspidata,,9,4.07,36.12,0.73,21.18,,,,,
Parthenocissus tricuspidata,,10,4.34,37.72,0.8,18.71,,,,,
Parthenocissus tricuspidata,2,1,4.14,39.04,0.75,14.83,,,,,
Parthenocissus tricuspidata,,2,5.72,34.41,0.99,15.91,,,,,
Parthenocissus tricuspidata,,3,6.75,51.16,0.92,26.73,,,,,
Parthenocissus tricuspidata,,4,3.17,35.84,0.87,28.77,,,,,
Parthenocissus tricuspidata,,5,3.57,45.15,0.61,17.35,,,,,
Parthenocissus tricuspidata,,6,4.88,33.78,1.25,26.82,,,,,
Parthenocissus tricuspidata,,7,4.86,42.9,0.6,19,,,,,
