Species,Number,Combustibility 
,,mg DW s-1
Parthenocissus tricuspidata,2,53.12247704
Parthenocissus tricuspidata,3,53.96784257
Parthenocissus tricuspidata,4,59.95577637
Parthenocissus tricuspidata,5,56.48255814
Phoenix canariensis,1,21.60871227
Phoenix canariensis,2,24.93180818
Phoenix canariensis,3,37.07963239
Phoenix canariensis,4,69.72362766
Phoenix canariensis,5,69.22096234
Pinus pinea,1,4.486516586
Pinus pinea,2,6.32416575
Pinus pinea,3,19.40064759
Pinus pinea,4,6.798778419
Pinus pinea,5,4.552372748
Podalyria calyptrata,1,10.01971014
Podalyria calyptrata,2,7.885918004
Podalyria calyptrata,3,8.91180867
Podalyria calyptrata,4,8.23892576
Podalyria calyptrata,5,12.80561122
Podocarpus latifolius,1,2.267179769
Podocarpus latifolius,2,2.926291202
Podocarpus latifolius,3,3.179433368
Podocarpus latifolius,4,2.62594893
Podocarpus latifolius,5,2.535750479
Populus sp.,1,14.16881827
Populus sp.,2,12.86358974
Populus sp.,3,14.1449531
Populus sp.,4,10.92112065
Populus sp.,5,14.62761506
Pyracantha angustifolia,1,3.410097431
Pyracantha angustifolia,2,3.183387859
Pyracantha angustifolia,3,5.272555404
Pyracantha angustifolia,4,4.574142157
Pyracantha angustifolia,5,3.948436866
Pyrostegia venusta,1,11.02749832
Pyrostegia venusta,2,15.12146462
Pyrostegia venusta,3,11.24749763
Pyrostegia venusta,4,13.37814959
Pyrostegia venusta,5,11.65452653
Quercus palustris,1,17.25265806
Quercus palustris,2,20.40734211
Quercus palustris,3,22.39013618
Quercus palustris,4,23.71743635
Quercus palustris,5,23.91476072
Searsia lancea,1,16.4439542
Searsia lancea,2,17.56889392
Searsia lancea,3,20.94973917
Searsia lancea,4,27.55522177
Searsia lancea,5,27.77056114
Sideroxylon inerme,1,9.624582323
Sideroxylon inerme,2,10.6442933
Sideroxylon inerme,3,14.2507837
Syzygium cordatum,1,22.70956544
Syzygium cordatum,2,25.10995072
Syzygium cordatum,3,19.85140948
Syzygium cordatum,4,25.51375103
Syzygium cordatum,5,24.70873301
Tarchonanthus comphoratus,1,11.16837482
Tarchonanthus comphoratus,2,8.436497326
Tarchonanthus comphoratus,3,6.587167184
Tarchonanthus comphoratus,4,7.649132445
Tarchonanthus comphoratus,5,6.89727728
Tipuana tipu,1,7.619174434
Tipuana tipu,2,5.20474407
Tipuana tipu,3,8.309747388
Tipuana tipu,4,7.488203267
Tipuana tipu,5,8.005427408
Virgilia variegata,1,14.97039115
Virgilia variegata,2,12.24645373
Virgilia variegata,3,21.48365056
Virgilia variegata,4,11.6205379
Virgilia variegata,5,15.42273001
